,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
125,1.0,2012-06-29,1540421.49,0.0,84.88,3.286,221.8434,7.143
119,1.0,2012-05-18,1595901.87,0.0,70.33,3.63,221.742674,7.143
133,1.0,2012-08-24,1494122.38,0.0,77.66,3.62,222.1719457,6.908
141,1.0,2012-10-19,1508068.77,0.0,67.97,3.594,223.4257233,6.573
64,1.0,2011-04-29,1455090.69,0.0,72.03,3.81,215.6279544,7.682
140,1.0,2012-10-12,1573072.81,0.0,62.99,3.601,223.3812965,6.573
34,1.0,2010-10-01,1453329.5,0.0,71.89,2.603,211.6719895,7.838
20,1.0,2010-06-25,1422711.6,0.0,84.34,2.653,211.3386526,7.808
75,1.0,2011-07-15,1455119.97,0.0,88.54,3.575,215.3611087,7.962
81,1.0,2011-08-26,1464693.46,0.0,87.96,3.523,215.7332258,7.962
27,1.0,2010-08-13,1508237.76,0.0,87.0,2.692,211.6394211,7.787
114,1.0,2012-04-13,1621031.7,0.0,69.07,3.891,221.5102105,7.143
24,1.0,2010-07-23,1385065.2,0.0,83.36,2.608,211.2351443,7.787
100,1.0,2012-01-06,1550369.92,0.0,49.01,3.157,219.7142581,7.348
92,1.0,2011-11-11,1594938.89,0.0,59.11,3.297,217.9980849,7.866
53,1.0,2011-02-11,1649614.93,1.0,36.39,3.022,212.9367046,7.742
65,1.0,2011-05-06,1629391.28,0.0,64.61,3.906,215.7960035,7.682
23,1.0,2010-07-16,1448938.92,0.0,83.15,2.623,211.1003854,7.787
21,1.0,2010-07-02,1492418.14,0.0,80.91,2.669,211.2235333,7.787
47,1.0,2010-12-31,1367320.01,1.0,48.43,2.943,211.4049321,7.838
35,1.0,2010-10-08,1508239.93,0.0,63.93,2.633,211.7467544,7.838
52,1.0,2011-02-04,1606629.58,0.0,42.27,2.989,212.5668812,7.742
14,1.0,2010-05-14,1494251.5,0.0,74.78,2.854,210.3374261,7.808
0,1.0,2010-02-05,1643690.9,0.0,42.31,2.572,211.0963582,8.106
5,1.0,2010-03-12,1439541.59,0.0,57.79,2.667,211.3806429,8.106
91,1.0,2011-11-04,1697229.58,0.0,54.98,3.332,217.837382,7.866
71,1.0,2011-06-17,1532114.86,0.0,86.41,3.637,214.9980596,7.682
8,1.0,2010-04-02,1594968.28,0.0,62.27,2.719,210.8204499,7.808
1,1.0,2010-02-12,1641957.44,1.0,38.51,2.548,211.2421698,8.106
50,1.0,2011-01-21,1327405.42,0.0,44.04,3.016,211.8272343,7.742
48,1.0,2011-01-07,1444732.28,0.0,48.27,2.976,211.4047419,7.742
109,1.0,2012-03-09,1675431.16,0.0,58.76,3.669,221.0591887,7.348
9,1.0,2010-04-09,1545418.53,0.0,65.86,2.77,210.6228574,7.808
41,1.0,2010-11-19,1483784.18,0.0,51.41,2.771,211.8896737,7.838
68,1.0,2011-05-27,1466046.67,0.0,77.72,3.786,215.5037878,7.682
97,1.0,2011-12-16,1881176.67,0.0,51.63,3.159,219.1794533,7.866
36,1.0,2010-10-15,1459409.1,0.0,67.18,2.72,211.8137436,7.838
73,1.0,2011-07-01,1488538.09,0.0,85.55,3.524,215.1841368,7.962
79,1.0,2011-08-12,1525147.09,0.0,90.76,3.638,215.6057878,7.962
137,1.0,2012-09-21,1506126.06,0.0,69.87,3.721,222.7818386,6.908
126,1.0,2012-07-06,1769854.16,0.0,81.57,3.227,221.8837789,6.908
121,1.0,2012-06-01,1624477.58,0.0,77.95,3.501,221.7472139,7.143
115,1.0,2012-04-20,1521577.87,0.0,66.76,3.877,221.5640737,7.143
149,2.0,2010-03-19,1946070.88,0.0,54.52,2.72,210.8733316,8.324
173,2.0,2010-09-03,1904608.09,0.0,81.83,2.577,211.1886931,8.099
175,2.0,2010-09-17,1793903.6,0.0,82.05,2.582,211.1806415,8.099
165,2.0,2010-07-09,1880902.62,0.0,82.59,2.642,210.7657317,8.099
245,2.0,2012-01-20,1711769.11,0.0,51.7,3.268,219.6258417,7.057
157,2.0,2010-05-14,1880752.36,0.0,73.31,2.854,209.9984585,8.2
275,2.0,2012-08-17,1928016.01,0.0,84.79,3.571,221.6751459,6.565
167,2.0,2010-07-23,1781717.71,0.0,87.66,2.608,210.8921319,8.099
218,2.0,2011-07-15,1785187.29,0.0,89.83,3.575,215.0134426,7.852
152,2.0,2010-04-09,1954689.21,0.0,65.41,2.77,210.2831653,8.2
178,2.0,2010-10-08,1849921.44,0.0,63.19,2.633,211.4044906,8.163
179,2.0,2010-10-15,1794355.49,0.0,65.8,2.72,211.4713286,8.163
211,2.0,2011-05-27,1797732.56,0.0,76.42,3.786,215.1544822,7.931
284,2.0,2012-10-19,1847990.41,0.0,68.08,3.594,223.0598077,6.17
166,2.0,2010-07-16,1845879.79,0.0,85.32,2.623,210.7577954,8.099
187,2.0,2010-12-10,2378726.55,0.0,45.5,2.843,211.1247993,8.163
172,2.0,2010-08-27,1863840.49,0.0,87.12,2.619,211.2241759,8.099
181,2.0,2010-10-29,1802755.11,0.0,66.24,2.716,211.5661131,8.163
280,2.0,2012-09-21,1829415.67,0.0,71.09,3.721,222.4169362,6.565
255,2.0,2012-03-30,1857480.84,0.0,66.83,3.845,220.9991248,7.057
200,2.0,2011-03-11,1879107.31,0.0,52.7,3.459,213.7646401,8.028
198,2.0,2011-02-25,1833511.08,0.0,60.8,3.065,213.190421,8.028
204,2.0,2011-04-08,1847552.61,0.0,67.0,3.622,214.7252242,7.931
143,2.0,2010-02-05,2136989.46,0.0,40.19,2.572,210.7526053,8.324
229,2.0,2011-09-30,1650394.44,0.0,78.14,3.355,216.3620333,7.852
192,2.0,2011-01-14,1744193.58,0.0,33.02,2.983,211.1176713,8.028
271,2.0,2012-07-20,1819666.46,0.0,83.23,3.311,221.5701123,6.565
164,2.0,2010-07-02,2003940.64,0.0,82.74,2.669,210.8803726,8.099
273,2.0,2012-08-03,1946104.64,0.0,90.22,3.417,221.5869799,6.565
261,2.0,2012-05-11,1917520.99,0.0,73.87,3.688,221.3632212,6.891
148,2.0,2010-03-12,1990483.78,0.0,57.56,2.667,211.037551,8.324
264,2.0,2012-06-01,1910092.37,0.0,78.38,3.501,221.3852748,6.891
269,2.0,2012-07-06,2041507.4,0.0,84.2,3.227,221.5215064,6.565
232,2.0,2011-10-21,1834680.25,0.0,64.53,3.353,217.1650042,7.441
208,2.0,2011-05-06,1837743.6,0.0,61.48,3.906,215.4448709,7.931
163,2.0,2010-06-25,1939927.09,0.0,86.26,2.653,210.9950134,8.2
169,2.0,2010-08-06,1991909.98,0.0,89.53,2.627,211.1608049,8.099
222,2.0,2011-08-12,1812768.26,0.0,91.58,3.638,215.2593211,7.852
281,2.0,2012-09-28,1746470.56,0.0,79.45,3.666,222.6164329,6.565
242,2.0,2011-12-30,1874226.52,1.0,44.57,3.129,219.1773063,7.441
160,2.0,2010-06-04,2102539.93,0.0,81.81,2.705,210.833616,8.2
251,2.0,2012-03-02,1952555.66,0.0,58.79,3.63,220.4866886,7.057
260,2.0,2012-05-04,1923957.09,0.0,76.73,3.749,221.3095166,6.891
307,3.0,2010-07-02,381151.72,0.0,82.2,2.669,214.5463222,7.346
338,3.0,2011-02-04,438516.53,0.0,45.95,2.989,215.8863367,7.551
