,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
129,1.0,2012-07-27,1439123.71,0.0,82.66,3.407,221.9412954,6.908
6,1.0,2010-03-19,1472515.79,0.0,54.58,2.72,211.215635,8.106
28,1.0,2010-08-20,1513080.49,0.0,86.65,2.664,211.6033633,7.787
113,1.0,2012-04-06,1899676.88,0.0,70.43,3.891,221.4356112,7.143
2,1.0,2010-02-19,1611968.17,0.0,39.93,2.514,211.2891429,8.106
108,1.0,2012-03-02,1688420.76,0.0,60.96,3.63,220.8480454,7.348
46,1.0,2010-12-24,2387950.2,0.0,52.33,2.886,211.4051222,7.838
13,1.0,2010-05-07,1603955.12,0.0,72.55,2.835,210.3399684,7.808
82,1.0,2011-09-02,1550229.22,0.0,87.83,3.533,215.7971409,7.962
11,1.0,2010-04-23,1391256.12,0.0,64.84,2.795,210.4391228,7.808
116,1.0,2012-04-27,1468928.37,0.0,67.23,3.814,221.6179368,7.143
32,1.0,2010-09-17,1430378.67,0.0,82.11,2.582,211.5224596,7.787
66,1.0,2011-05-13,1604775.58,0.0,75.64,3.899,215.9640526,7.682
40,1.0,2010-11-12,1494479.49,0.0,59.61,2.728,212.003944,7.838
54,1.0,2011-02-18,1686842.78,0.0,57.36,3.045,213.2478853,7.742
69,1.0,2011-06-03,1635078.41,0.0,83.0,3.699,215.2736553,7.682
37,1.0,2010-10-22,1345454.0,0.0,69.86,2.725,211.8612937,7.838
7,1.0,2010-03-26,1404429.92,0.0,51.45,2.732,211.0180424,8.106
84,1.0,2011-09-16,1514259.78,0.0,79.94,3.526,216.0410526,7.962
90,1.0,2011-10-28,1445249.09,0.0,66.57,3.372,217.6766791,7.866
110,1.0,2012-03-16,1677472.78,0.0,64.74,3.734,221.2118132,7.348
63,1.0,2011-04-22,1564819.81,0.0,72.99,3.807,215.4599053,7.682
29,1.0,2010-08-27,1449142.92,0.0,85.22,2.619,211.5673056,7.787
86,1.0,2011-09-30,1394561.83,0.0,79.69,3.355,216.7105965,7.962
87,1.0,2011-10-07,1630989.95,0.0,69.31,3.285,217.0453684,7.866
127,1.0,2012-07-13,1527014.04,0.0,77.12,3.256,221.9241579,6.908
56,1.0,2011-03-04,1636263.41,0.0,59.58,3.288,213.8233327,7.742
120,1.0,2012-05-25,1555444.55,0.0,77.22,3.561,221.744944,7.143
55,1.0,2011-02-25,1456800.28,0.0,62.9,3.065,213.535609,7.742
3,1.0,2010-02-26,1409727.59,0.0,46.63,2.561,211.3196429,8.106
78,1.0,2011-08-05,1624383.75,0.0,91.65,3.684,215.544618,7.962
122,1.0,2012-06-08,1697230.96,0.0,78.3,3.452,221.7494839,7.143
111,1.0,2012-03-23,1511068.07,0.0,65.93,3.787,221.2864126,7.348
130,1.0,2012-08-03,1631135.79,0.0,86.11,3.417,221.9498642,6.908
118,1.0,2012-05-11,1611096.05,0.0,73.77,3.688,221.7256632,7.143
12,1.0,2010-04-30,1425100.71,0.0,67.41,2.78,210.3895456,7.808
131,1.0,2012-08-10,1592409.97,0.0,85.05,3.494,221.9584329,6.908
72,1.0,2011-06-24,1438830.15,0.0,83.58,3.594,215.0910982,7.682
83,1.0,2011-09-09,1540471.24,1.0,76.0,3.546,215.861056,7.962
105,1.0,2012-02-10,1802477.43,1.0,48.02,3.409,220.2651783,7.348
22,1.0,2010-07-09,1546074.18,0.0,80.48,2.642,211.108414,7.787
38,1.0,2010-10-29,1384209.22,0.0,69.64,2.716,211.9088438,7.838
138,1.0,2012-09-28,1437059.26,0.0,76.08,3.666,222.9816579,6.908
99,1.0,2011-12-30,1497462.72,1.0,44.55,3.129,219.5359898,7.866
142,1.0,2012-10-26,1493659.74,0.0,69.16,3.506,223.4442513,6.573
43,1.0,2010-12-03,1548033.78,0.0,49.27,2.708,211.607193,7.838
117,1.0,2012-05-04,1684519.99,0.0,75.55,3.749,221.6718,7.143
67,1.0,2011-05-20,1428218.27,0.0,67.63,3.907,215.7339202,7.682
80,1.0,2011-08-19,1530761.43,0.0,89.94,3.554,215.6693107,7.962
135,1.0,2012-09-07,1661767.33,1.0,83.96,3.73,222.4390153,6.908
51,1.0,2011-01-28,1316899.31,0.0,43.83,3.01,212.1970577,7.742
58,1.0,2011-03-18,1576818.06,0.0,62.76,3.488,214.3627114,7.742
57,1.0,2011-03-11,1553191.63,0.0,53.56,3.459,214.1110564,7.742
15,1.0,2010-05-21,1399662.07,0.0,76.44,2.826,210.6170934,7.808
60,1.0,2011-04-01,1495064.75,0.0,59.17,3.524,214.8371664,7.682
31,1.0,2010-09-10,1507460.69,1.0,78.69,2.565,211.4951902,7.787
16,1.0,2010-05-28,1432069.95,0.0,80.44,2.759,210.8967606,7.808
89,1.0,2011-10-21,1502562.78,0.0,63.71,3.353,217.5159762,7.866
44,1.0,2010-12-10,1682614.26,0.0,46.33,2.843,211.4659526,7.838
112,1.0,2012-03-30,1649604.63,0.0,67.61,3.845,221.3610119,7.348
30,1.0,2010-09-03,1540163.53,0.0,81.21,2.577,211.5312479,7.787
74,1.0,2011-07-08,1534849.64,0.0,85.83,3.48,215.2771754,7.962
134,1.0,2012-08-31,1582083.4,0.0,80.49,3.638,222.3054805,6.908
136,1.0,2012-09-14,1517428.87,0.0,74.97,3.717,222.5820193,6.908
19,1.0,2010-06-18,1503284.06,0.0,84.11,2.637,211.4537719,7.808
93,1.0,2011-11-18,1539483.7,0.0,62.25,3.308,218.2205088,7.866
39,1.0,2010-11-05,1551659.28,0.0,58.74,2.689,211.9563939,7.838
139,1.0,2012-10-05,1670785.97,0.0,68.55,3.617,223.1814772,6.573
18,1.0,2010-06-11,1542561.09,0.0,80.43,2.668,211.4560951,7.808
42,1.0,2010-11-26,1955624.11,1.0,64.52,2.735,211.7484333,7.838
104,1.0,2012-02-03,1636339.65,0.0,56.55,3.36,220.1720153,7.348
123,1.0,2012-06-15,1630607.0,0.0,79.35,3.393,221.7626421,7.143
132,1.0,2012-08-17,1597868.05,0.0,84.85,3.571,222.0384109,6.908
17,1.0,2010-06-04,1615524.71,0.0,80.69,2.705,211.1764278,7.808
106,1.0,2012-02-17,1819870.0,0.0,45.32,3.51,220.4257586,7.348
10,1.0,2010-04-16,1466058.28,0.0,66.32,2.808,210.4887,7.808
26,1.0,2010-08-06,1605491.78,0.0,87.16,2.627,211.5046621,7.787
101,1.0,2012-01-13,1459601.17,0.0,48.53,3.261,219.8925263,7.348
124,1.0,2012-06-22,1527845.81,0.0,78.39,3.346,221.8030211,7.143
59,1.0,2011-03-25,1541102.38,0.0,69.97,3.473,214.5999389,7.742
128,1.0,2012-07-20,1497954.76,0.0,80.42,3.311,221.9327267,6.908
49,1.0,2011-01-14,1391013.96,0.0,35.4,2.983,211.4574109,7.742
33,1.0,2010-09-24,1351791.03,0.0,80.94,2.624,211.5972246,7.787
76,1.0,2011-07-22,1396926.82,0.0,85.77,3.651,215.4222784,7.962
61,1.0,2011-04-08,1614259.35,0.0,67.84,3.622,215.0743939,7.682
103,1.0,2012-01-27,1319325.59,0.0,54.26,3.29,220.0788523,7.348
85,1.0,2011-09-23,1380020.27,0.0,75.8,3.467,216.3758246,7.962
45,1.0,2010-12-17,1891034.93,0.0,49.84,2.869,211.4053124,7.838
25,1.0,2010-07-30,1371986.6,0.0,81.84,2.64,211.3699032,7.787
77,1.0,2011-07-29,1352219.79,0.0,86.83,3.682,215.4834482,7.962
70,1.0,2011-06-10,1588948.32,0.0,83.13,3.648,215.0435229,7.682
62,1.0,2011-04-15,1559889.0,0.0,71.27,3.743,215.2918561,7.682
88,1.0,2011-10-14,1493525.93,0.0,71.74,3.274,217.3552733,7.866
98,1.0,2011-12-23,2270188.99,0.0,47.96,3.112,219.3577216,7.866
107,1.0,2012-02-24,1539387.83,0.0,57.25,3.555,220.636902,7.348
95,1.0,2011-12-02,1584083.95,0.0,48.91,3.172,218.7147333,7.866
96,1.0,2011-12-09,1799682.38,0.0,43.93,3.158,218.9618456,7.866
94,1.0,2011-11-25,2033320.66,1.0,60.14,3.236,218.4676211,7.866
102,1.0,2012-01-20,1394393.84,0.0,54.11,3.268,219.9856893,7.348
4,1.0,2010-03-05,1554806.68,0.0,46.5,2.625,211.3501429,8.106
203,2.0,2011-04-01,1800171.36,0.0,55.43,3.524,214.4886908,7.931
176,2.0,2010-09-24,1724557.22,0.0,81.79,2.624,211.2552578,8.099
236,2.0,2011-11-18,1902762.5,0.0,62.01,3.308,217.8670218,7.441
233,2.0,2011-10-28,1769296.25,0.0,65.87,3.372,217.3251824,7.441
256,2.0,2012-04-06,2129035.91,0.0,68.43,3.891,221.0737638,6.891
201,2.0,2011-03-18,1902557.66,0.0,62.32,3.488,214.0156238,8.028
225,2.0,2011-09-02,1809119.7,0.0,89.64,3.533,215.4508632,7.852
253,2.0,2012-03-16,1976082.13,0.0,63.68,3.734,220.8498468,7.057
161,2.0,2010-06-11,2025538.76,0.0,83.4,2.668,211.1120018,8.2
150,2.0,2010-03-26,1750197.81,0.0,51.26,2.732,210.6766095,8.324
278,2.0,2012-09-07,1898777.07,1.0,87.65,3.73,222.0747635,6.565
